ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
256736,2020,Submitted Data,54000.0,430.2,6.9,1,1.5,34,1563900.9,3503850.2,,,,81.7,129.9,92.7,144.4
173789,2020,Not Submitted,53018.0,,,,0.0,,,,,,,,,,
256458,2020,Not Submitted,,,,,0.0,,,,,,,,,,
148673,2020,Submitted Data,52240.0,537.6,10.3,1,1.0,6,2329570.1,3276799.9,,,,107.6,191.0,111.8,194.8
121374,2020,Submitted Data,55129.0,1805.3,32.7,1,3.5,55,9404755.4,6354424.8,,,,285.9,598.7,297.0,610.4
160186,2020,Submitted Data,114000.0,1424.6,7.1,1,4.0,87,6706204.5,7115700.2,,,,69.1,131.2,71.7,136.0
175523,2020,Submitted Data,66095.0,444.7,6.7,1,3.5,76,2260402.2,1730722.9,,,,60.4,123.3,62.8,125.8
254164,2020,Submitted Data,124285.0,846.0,6.8,1,4.0,,4264045.2,3398007.0,,,,61.6,124.8,65.2,128.5
159902,2020,Submitted Data,225000.0,,,1,0.0,,,,,,,,,,
172670,2020,Exempt,443313.0,,,,,,,,,,,,,,
251416,2020,Submitted Data,105920.0,434.4,4.1,1,4.0,83,1690363.0,3212050.0,,,,46.3,76.5,50.4,81.4
251898,2020,Submitted Data,79722.0,461.8,5.8,1,3.5,57,2216222.5,2182680.0,,,,55.2,106.6,57.5,109.0
244200,2020,Submitted Data,441181.0,2595.7,6.4,1,3.5,51,11810740.5,14165958.4,,,,64.5,119.1,66.8,122.8
100730,2020,Submitted Data,539738.0,3533.5,6.7,1,4.0,77,22640612.2,,,,,42.9,120.2,44.5,124.6
253957,2020,Submitted Data,101200.0,734.2,7.3,1,1.0,10,1340556.3,9883868.5,,,,110.9,139.6,118.0,147.1
103475,2020,Not Submitted,57776.0,,,,0.0,,,,,,,,,,
101999,2020,Submitted Data,52000.0,277.8,6.6,1,3.5,80,837584.5,2768148.0,,,,85.9,125.0,90.7,129.4
252071,2020,Submitted Data,387025.0,2004.4,5.5,1,3.5,72,7950181.2,14376343.1,,,,61.4,102.7,63.6,105.1
251574,2020,Submitted Data,147109.0,1087.0,7.4,1,2.5,32,4164781.0,8226969.9,,,,84.2,138.0,89.1,141.3
256549,2020,Exempt,120000.0,,,,,,,,,,,,,,
251668,2020,Submitted Data,76423.0,387.1,5.1,1,4.0,66,947881.0,4502900.4,,,,71.3,96.6,76.1,101.6
252054,2020,Submitted Data,103012.0,1627.3,15.8,1,1.0,,4468194.6,,8115450.9,7421459.9,,194.2,281.8,194.0,282.1
252104,2020,Submitted Data,275000.0,2543.2,17.0,3,2.0,,14878881.9,4162790.1,,,,126.9,306.9,129.6,309.6
173888,2020,Submitted Data,85129.0,386.9,4.5,1,4.0,91,1479114.6,2938900.2,,,,51.9,84.9,55.8,89.0
251593,2020,Submitted Data,81950.0,508.7,6.2,1,3.0,43,1370731.8,5550389.7,,,,84.5,117.9,97.5,131.7
234641,2020,Submitted Data,360669.0,2303.7,8.8,1,1.0,27,6925520.8,23023027.5,,,,114.9,167.2,121.8,172.8
254048,2020,Submitted Data,67170.0,626.8,9.5,1,1.5,31,2413440.7,4708995.6,,,,108.5,178.3,110.4,180.3
119039,2020,Submitted Data,74185.0,643.3,9.5,1,1.0,25,2325856.1,5277976.8,,,,112.8,178.9,117.5,184.6
251429,2020,Submitted Data,62750.0,326.0,5.2,1,4.0,65,1044686.8,3067909.7,,,,65.5,98.0,70.3,103.5
172485,2020,Submitted Data,91968.0,322.1,4.7,,4.0,82,927569.2,3339321.9,,,,62.8,89.8,65.6,92.6
255970,2020,Submitted Data,110435.0,812.1,7.9,1,2.5,38,3185730.0,5929664.5,,,,89.0,147.9,92.2,150.5
255027,2020,Submitted Data,563659.0,2422.0,5.3,1,4.0,90,11644228.2,11383738.7,,,,50.6,97.9,51.9,99.4
251588,2020,Submitted Data,87628.0,674.7,7.7,1,2.0,21,1010667.5,9732470.2,,,,122.6,148.9,138.3,165.4
256653,2020,Not Submitted,50000.0,,,,0.0,,,,,,,,,,
251698,2020,Submitted Data,143266.0,491.8,3.4,1,4.0,91,1661189.0,4377879.9,,,,42.2,64.6,46.5,69.5
