id,name,address,type
101954,The Garland Building Office Condominium,111 North Wabash,Office
101958,17 N. State LLC,17 N. State Street,Office
101960,Chicago Cultural Center,78 E. Washington St.,Other - Entertainment/Public Assembly
101961,Inland Steel Building,30 West Monroe,Office
101968,Michigan 30 LLC,30 N. Michigan Ave,Office
101969,Chicago Temple Building,77 W. Washington,Office
101971,Corboy Law Center-ID# 101971,25 E. Pearson St.,College/University
101972,150 North Wacker Drive,150 North Wacker Drive,Office
101975,Daley Center,14 East Jackson Blvd.,College/University
101980,Harold Washington College,30 East Lake Street,College/University
101981,Woodlawn Terrace,4724-4730 S. Woodlawn Avenue,Multifamily Housing
101987,20 South Clark,20 S Clark St,Office
101988,205 W Wacker,205 W Wacker Dr,Office
101989,330 WELLS OWNER LLC,330 S. Wells Street,Multifamily Housing
101998,TransUnion LLC,555 W Adams St,Office
101999,1415 Lunt Condominium Association,1415 W Lunt Ave,Multifamily Housing
102029,Drexel Grand,5220 S Drexel Avenue,Multifamily Housing
102032,450 Briar Place Condominium Association,450 W. Briar Pl.,Multifamily Housing
102079,East Bank Club,500 North Kingsbury Street,Fitness Center/Health Club/Gym
102083,Pratt Blvd Place Condo Assoc,1645-63 W Pratt Condo Assoc,Multifamily Housing
102091,Superior West Private Residences,101 W. Superior St.,Multifamily Housing
102125,Lavin Family Pavilion (Outpatient Care Pavilion),259 East Erie,Medical Office
102157,OneTwoPru,130 East Randolph & 180 North Stetson,Office
102160,Block 37,108 N. State Street,Multifamily Housing
102232,2800 Lake Shore Drive Condo Association (102232),2800 North Lake Shore Drive,Multifamily Housing
102238,Park West Condominium,444 W Fullerton Pkwy,Multifamily Housing
102239,Lake Park Crescent - Midrise,1061 E 41st Pl,Multifamily Housing
102270,2700-2714 N Spaulding Ave,"2700-14 N Spaulding, 3300-3312 W. Schubert",Multifamily Housing
102283,Ascension St Joseph Hospital - Chicago,2900 N Lake Shore Drive,Hospital (General Medical & Surgical)
102284,Commonwealth Plaza Condominium Association,330 West Diversey Parkway,Multifamily Housing
102285,Advocate Illinois Masonic Medical Center,836 W. Wellington Avenue,Hospital (General Medical & Surgical)
102286,3000 N Halsted Street,3000 N Halsted Street,Medical Office
102309,Schurz HS,3601 N Milwaukee Ave,K-12 School
102323,"Franklin Blvd Partners, LLC",3515 W Franklin Blvd,Multifamily Housing
102331,Disney,4140 N Marine Dr,K-12 School
102332,Truman College,1145 West Wilson Ave,College/University
102335,,4302 4312 N SHERIDAN RD,Multifamily Housing
102336,Institute of Cultural Affairs - Greenrise,4750 N Sheridan Road,Office
102337,Buena Shores,833 W.Buena Avenue,Multifamily Housing
102340,Grand on Grand Condominium Association,200 W. Grand Ave.,Multifamily Housing
102362,"MLL 1945 Wilson, LLC",1945 W. Wilson Ave.,Mixed Use Property
102363,Lane Tech HS,2501 W Addison St,K-12 School
102365,Lake View HS,4015 N Ashland Ave,K-12 School
102368,Bradley Business Center II,2500 West Bradley Place,Other
102380,4600 N. Cumberland Condominium Association,4600 N. Cumberland Ave.,Multifamily Housing
102397,Walsh Park Apartments,1734 N. Paulina Street,Multifamily Housing
102408,Mundelein Center- ID#102408,1020 W Sheridan Rd,College/University
102409,Senn HS,5900 N Glenwood Ave,K-12 School
102435,60 W Erie Condo,60 W Erie St Apt 1401,Multifamily Housing
102451,Abbott,947 E 58th St,Laboratory
102452,Regenstein Library,1100 East 57th Street,Library
102455,Harper Center (Booth School),5807 South Woodlawn Ave.,College/University
102456,Sunny Gym,5823 South Kenwood Avenue,Fitness Center/Health Club/Gym
102460,Griffin Museum of Science and Industry,5700 South Lake Shore Drive,Museum
102487,Pine Grove Apartments,3639 N. Pine Grove,Multifamily Housing
102532,Advocate Trinity Hospital,2320 E. 93rd. Street,Hospital (General Medical & Surgical)
102544,"Olive-Harvey College - South Side Learning Center - Board of Trustees, Community",10001 South Woodlawn Ave,College/University
102545,Chicago Vocational Career Academy -CPS,2106 E 87th St,K-12 School
102552,Palmer Kedzie Condominium Association,3127-45 W Palmer,Multifamily Housing
102556,Gateway Apartments (Sneider Apartments),7450 N Rogers,Multifamily Housing
102568,,639  W GRACE ST,Multifamily Housing
102585,Chicago State University Campus,9501 South Martin Luther King Drive,College/University
102587,Carver Millitary Academy -CPS,13100 S Carver Dr,K-12 School
102610,,420  432 W ONTARIO ST,Multifamily Housing
102613,,7914 7932 S WABASH AVE,Multifamily Housing
102643,234-Senior Suites of Jefferson Park,5400 N. Northwest Highway,Senior Living Community
102644,Glenwood Apartments,6701 N Glenwood Ave,Multifamily Housing
102690,Gallery 1250 (ga021),1250 N La Salle St,Multifamily Housing
102705,,65  E GOETHE ST,Multifamily Housing
102725,237-Senior Suites of W. Humboldt Park,3656 W. Huron Street,Senior Living Community
102731,1025 W Hollywood,1025 W Hollywood,Multifamily Housing
102745,Harper Place Condominium Association,5309-5343 S Harper Place,Multifamily Housing
102766,Brandon Shores Condo Association,6150 N Kenmore,Multifamily Housing
102803,235-Senior Suites of New City,4845 S. Western Avenue,Senior Living Community
102809,1916-34 W. Winona / 5103-5115 N. Winchester,1916-34 W. Winona / 5103-5115 N. Winchester,Multifamily Housing
102825,Ravenswood Court,4510-4518 N. Ashland,Multifamily Housing
102838,233-Senior Suites of Hegewisch,13550 S. Avenue O,Senior Living Community
102854,Hyde Park West Apartments,5325 S. Cottage Grove Ave,Multifamily Housing
102914,Brainerd Senior Center (8915 S. Loomis St.),8915  S LOOMIS ST,Multifamily Housing
102926,5736-52 South Stony Island LLC,5736-52 S Stony Island Ave,Multifamily Housing
102946,Haven Towers,7947 S. South Chicago Ave.,Multifamily Housing
102987,,4048  S LAKE PARK AVE,Multifamily Housing
103036,SEELEY BUILDING,4424 4432 N SEELEY AVE,Multifamily Housing
103182,1000 N. LaSalle Apartments,1000 N. Lasalle St.,Multifamily Housing
103264,2941 S Michigan,3001 S Michigan Ave,Multifamily Housing
103271,1344 N. Dearborn Condo Association (nd112),1344 N Dearborn St,Multifamily Housing
103273,Indian Trail Apartments,221 E 121st Place,Multifamily Housing
103278,,33  W HURON ST,Multifamily Housing
103310,Marshall Field Garden Apartment Homes,1448 N Sedgwick St,Multifamily Housing
103312,199 East Lake Shore Drive,199 East Lake Shore Drive,Multifamily Housing
103314,Evergreen Tower I,1333 N. Cleveland Ave,Multifamily Housing
103315,230 East Ontario Condominium Association,230 E. Ontario St.,Multifamily Housing
103317,33E. Condo Association (33 E. Cedar St.),33 E. Cedar St.,Multifamily Housing
103573,Woodlawn Partners,6445 6458 S Kenwood Ave,Multifamily Housing
103580,Good Shepherd Land & Housing Dev. Corp.,6720 S Cornell Ave,Multifamily Housing
103594,NBC Tower,455 North Cityfront Plaza Drive,Office
103595,141 West Jackson Boulevard (Chicago Board of Trade Building),141 West Jackson Boulevard,Office
103596,550 W Jackson Boulevard,550 W Jackson Boulevard,Office
103597,30 North LaSalle Street,30 North Lasalle Street,Office
103598,222 North LaSalle,222 North Lasalle Street,Office
