Address,Coordinates
6850 S Crandon Ave,"{'latitude': 41.7701568, 'longitude': -87.57017290000002}"
2300 W Wabansia Ave,"{'latitude': 41.912746, 'longitude': -87.684343}"
120 E Cullerton St,"{'latitude': 41.8556785, 'longitude': -87.6227303}"
550 E 50th Pl,"{'latitude': 41.8033484, 'longitude': -87.6122175}"
1660  N HUDSON AVE,"{'latitude': 41.912304, 'longitude': -87.640085}"
555 W Cornelia Ave,"{'latitude': 41.9458126, 'longitude': -87.6442892}"
426  W BELMONT AVE,"{'latitude': 41.9403264, 'longitude': -87.6407145}"
2601 W 80th St,"{'latitude': 41.74764630000001, 'longitude': -87.68777399999999}"
1845 N Springfield Ave,"{'latitude': 41.9147623, 'longitude': -87.7234814}"
630 N State St,"{'latitude': 41.8937668, 'longitude': -87.6283072}"
345 N LaSalle St,"{'latitude': 41.8889619, 'longitude': -87.63214909999999}"
305 W Fullerton Pkwy,"{'latitude': 41.92536210000001, 'longitude': -87.63702699999999}"
2040 W Adams St,"{'latitude': 41.8793077, 'longitude': -87.6785173}"
7347 7365 Sheridan Rd,"{'latitude': 42.0159257, 'longitude': -87.66468800000001}"
5423 5453 S EASTVIEW PARK,"{'latitude': 41.7968229, 'longitude': -87.5816419}"
5120 N Winthrop Ave,"{'latitude': 41.9755578, 'longitude': -87.6580341}"
6325 W 56th St,"{'latitude': 41.7903821, 'longitude': -87.7802629}"
350 E Cermak,"{'latitude': 41.853678, 'longitude': -87.61835339999999}"
323 E Wacker Dr,"{'latitude': 41.8875223, 'longitude': -87.6195261}"
2850 N SHERIDAN RD,"{'latitude': 41.9341181, 'longitude': -87.640188}"
721 729 W SHERIDAN RD,"{'latitude': 41.9524867, 'longitude': -87.6490807}"
346 E 53rd St,"{'latitude': 41.7987779, 'longitude': -87.6174475}"
1235 S Washtenaw,"{'latitude': 41.8654213, 'longitude': -87.6932163}"
809  E 40TH ST,"{'latitude': 41.8212661, 'longitude': -87.6063009}"
3807 W 111th St,"{'latitude': 41.6913378, 'longitude': -87.7161776}"
1230  N STATE PKWY,"{'latitude': 41.9046704, 'longitude': -87.6290102}"
4217 W 18th St,"{'latitude': 41.8564797, 'longitude': -87.7306452}"
4916 4938 S KEDZIE AVE,"{'latitude': 41.8030695, 'longitude': -87.70574599999999}"
6400 S Kimbark Ave,"{'latitude': 41.7783894, 'longitude': -87.595259}"
7337 S SOUTH SHORE DR,"{'latitude': 41.763201, 'longitude': -87.5583187}"
2921 S MICHIGAN AVE,"{'latitude': 41.8413828, 'longitude': -87.62288}"
1062 W Bryn Mawr Ave,"{'latitude': 41.9837817, 'longitude': -87.6577022}"
3520 N Lake Shore Dr,"{'latitude': 41.9472359, 'longitude': -87.643085}"
6525 N Hiawatha Ave,"{'latitude': 41.9996044, 'longitude': -87.7609374}"
4001 N Ravenswood Ave,"{'latitude': 41.9546897, 'longitude': -87.6734807}"
5500 W Madison St,"{'latitude': 41.880868, 'longitude': -87.76378969999999}"
2410 S Leavitt St,"{'latitude': 41.8477733, 'longitude': -87.6813811}"
431 N Troy St,"{'latitude': 41.889259, 'longitude': -87.70479209999999}"
37 41 W 47TH ST,"{'latitude': 41.80879729999999, 'longitude': -87.628261}"
2012 W 17th St,"{'latitude': 41.858657, 'longitude': -87.6767975}"
2731 2739 N MILWAUKEE AVE,"{'latitude': 41.9310668, 'longitude': -87.7100842}"
3900 W Palmer St,"{'latitude': 41.9211518, 'longitude': -87.725036}"
1366 W Fullerton Ave,"{'latitude': 41.9253656, 'longitude': -87.66301659999999}"
1360 N ASHLAND AVE,"{'latitude': 41.9064522, 'longitude': -87.66874949999999}"
200 S Michigan Ave,"{'latitude': 41.8793429, 'longitude': -87.62466649999999}"
1221 N DEARBORN ST,"{'latitude': 41.9046835, 'longitude': -87.62962639999999}"
1165 N Clark St,"{'latitude': 41.9036296, 'longitude': -87.6311686}"
4050 West 115th Street,"{'latitude': 41.68582130000001, 'longitude': -87.7213235}"
420  432 W ONTARIO ST,"{'latitude': 41.8932609, 'longitude': -87.6398346}"
2236 N Rockwell Ave,"{'latitude': 41.9226426, 'longitude': -87.69321699999999}"
2356 East 70th Street,"{'latitude': 41.7684297, 'longitude': -87.56759749999999}"
5700 S Lake Shore Dr,"{'latitude': 41.7908695, 'longitude': -87.58291129999999}"
1546  N ORLEANS ST,"{'latitude': 41.9108709, 'longitude': -87.63772689999999}"
4730  N KIMBALL AVE,"{'latitude': 41.9676176, 'longitude': -87.7134872}"
740  N MILWAUKEE AVE,"{'latitude': 41.8951868, 'longitude': -87.65430289999999}"
3810 3816 W 16TH ST,"{'latitude': 41.8590721, 'longitude': -87.72099949999999}"
400 S LaSalle St,"{'latitude': 41.8764788, 'longitude': -87.6321341}"
3300 3308 N LAKE SHORE DR,"{'latitude': 41.94262680000001, 'longitude': -87.6404888}"
6700  S KEATING AVE,"{'latitude': 41.7706116, 'longitude': -87.7407303}"
1601  S MICHIGAN AVE,"{'latitude': 41.8603254, 'longitude': -87.6239183}"
3151 W Walnut St,"{'latitude': 41.8850873, 'longitude': -87.7048525}"
320 S Plymouth Ct,"{'latitude': 41.877709, 'longitude': -87.62888699999999}"
5157 N Francisco Ave,"{'latitude': 41.9754813, 'longitude': -87.70071329999999}"
3445 3481 S King Dr,"{'latitude': 41.8315861, 'longitude': -87.6149714}"
4334 N Hazel St,"{'latitude': 41.9612352, 'longitude': -87.6526574}"
1110 N Lake Shore Dr,"{'latitude': 41.9028792, 'longitude': -87.6249697}"
333 W Wacker Dr,"{'latitude': 41.886053, 'longitude': -87.6359543}"
6701 S Crandon Ave,"{'latitude': 41.7733082, 'longitude': -87.5696708}"
2405 W HUTCHINSON ST,"{'latitude': 41.9585187, 'longitude': -87.6889068}"
344 N Canal St,"{'latitude': 41.8881987, 'longitude': -87.64038479999999}"
1051 W 13th Ave,"{'latitude': 41.8650973, 'longitude': -87.65563689999999}"
35 W 34th Street,"{'latitude': 41.832822, 'longitude': -87.6284663}"
600 N Fairbanks Ct,"{'latitude': 41.8928735, 'longitude': -87.6207599}"
2851 S King Dr,"{'latitude': 41.8426828, 'longitude': -87.6164761}"
50  E 26TH ST,"{'latitude': 41.84588979999999, 'longitude': -87.6248437}"
6715 6723 S PAXTON AVE,"{'latitude': 41.77281929999999, 'longitude': -87.5712614}"
600 E Grand Ave,"{'latitude': 41.8916406, 'longitude': -87.6074404}"
425 S Wabash Ave,"{'latitude': 41.8764161, 'longitude': -87.62583359999999}"
3205 W Carmen Ave,"{'latitude': 41.9734819, 'longitude': -87.7090255}"
722 740 S FINANCIAL PL,"{'latitude': 41.872476, 'longitude': -87.6328099}"
1310 1316 E HYDE PARK BLVD,"{'latitude': 41.8025438, 'longitude': -87.59438039999999}"
2605 S Indiana Ave,"{'latitude': 41.8453945, 'longitude': -87.6217996}"
217 221 N JEFFERSON ST,"{'latitude': 41.8864373, 'longitude': -87.6427946}"
400 S Green St,"{'latitude': 41.8762807, 'longitude': -87.64855}"
7736 7772 N Sheridan Rd,"{'latitude': 42.02286400000001, 'longitude': -87.665795}"
7025 S Princeton Ave,"{'latitude': 41.766788, 'longitude': -87.6318991}"
423 439 S DEARBORN ST,"{'latitude': 41.8758926, 'longitude': -87.6290583}"
809 817 W EASTWOOD AVE,"{'latitude': 41.966245, 'longitude': -87.65080979999999}"
3000 N HALSTED ST,"{'latitude': 41.9366754, 'longitude': -87.6494503}"
4039 4051 N LAPORTE AVE,"{'latitude': 41.9550623, 'longitude': -87.7508471}"
1534 1542 N LAKE SHORE DR,"{'latitude': 41.9104722, 'longitude': -87.62683059999999}"
3100 N Lake Shore Dr,"{'latitude': 41.9381306, 'longitude': -87.63804999999999}"
5858  N SHERIDAN RD,"{'latitude': 41.9890718, 'longitude': -87.6557931}"
313 W Wolf Point Plaza,"{'latitude': 41.88783919999999, 'longitude': -87.6368277}"
1313 N Ritchie Ct,"{'latitude': 41.90616259999999, 'longitude': -87.6261578}"
540 N LASALLE ST,"{'latitude': 41.89219569999999, 'longitude': -87.6329437}"
8130 S California Ave,"{'latitude': 41.7452112, 'longitude': -87.6928554}"
900 N North Branch St,"{'latitude': 41.8989983, 'longitude': -87.6490984}"
5550 5556 S DORCHESTER AVE,"{'latitude': 41.79350700000001, 'longitude': -87.59216029999999}"
657 W Fulton St,"{'latitude': 41.88653679999999, 'longitude': -87.6454574}"
3440  S COTTAGE GROVE AVE,"{'latitude': 41.8319002, 'longitude': -87.6114697}"
7121 7125 N PAULINA ST,"{'latitude': 42.0124012, 'longitude': -87.67218799999999}"
5015 S Blackstone Ave,"{'latitude': 41.779449, 'longitude': -87.589978}"
7248 7256 N WESTERN AVE,"{'latitude': 42.014014, 'longitude': -87.69064}"
5733 N Sheridan Rd,"{'latitude': 41.9866383, 'longitude': -87.6544291}"
2 W Delaware Pl,"{'latitude': 41.8992647, 'longitude': -87.628772}"
8755 W HIGGINS RD,"{'latitude': 41.9864821, 'longitude': -87.8452295}"
1422 1424 W 47TH ST,"{'latitude': 41.8100292, 'longitude': -87.6609644}"
2324 W Irving Park Rd,"{'latitude': 41.9546977, 'longitude': -87.68681409999999}"
1653 W Congress Pkwy,"{'latitude': 41.8746214, 'longitude': -87.6688633}"
11030 S Longwood Dr,"{'latitude': 41.6939155, 'longitude': -87.67187659999999}"
4917 S Drexel Blvd,"{'latitude': 41.8051602, 'longitude': -87.6034787}"
517 N Parkside Ave,"{'latitude': 41.8900223, 'longitude': -87.7660432}"
6228 6240 N WINTHROP AVE,"{'latitude': 41.9956523, 'longitude': -87.6587176}"
447 455 W MELROSE ST,"{'latitude': 41.9409314, 'longitude': -87.6417223}"
300 N State St,"{'latitude': 41.88811159999999, 'longitude': -87.628363}"
6245 S INGLESIDE AVE,"{'latitude': 41.7808666, 'longitude': -87.6023975}"
920 W Lakeside Pl,"{'latitude': 41.9683477, 'longitude': -87.6534466}"
3100 N SHERIDAN RD,"{'latitude': 41.9378991, 'longitude': -87.63988270000002}"
4631 4637 S Lake Park,"{'latitude': 41.81078249999999, 'longitude': -87.5935818}"
1211 W MARQUETTE RD,"{'latitude': 41.7719934, 'longitude': -87.65478069999999}"
66 W Oak St,"{'latitude': 41.9007823, 'longitude': -87.63028480000001}"
2 12 S HALSTED ST,"{'latitude': 41.7552406, 'longitude': -87.6444374}"
76 E Monroe St,"{'latitude': 41.8810262, 'longitude': -87.6251552}"
1601  S STATE ST,"{'latitude': 41.8599299, 'longitude': -87.6268884}"
7529 S Constance Ave,"{'latitude': 41.7573823, 'longitude': -87.5793064}"
660  E 85TH ST,"{'latitude': 41.7403448, 'longitude': -87.6070072}"
5801 S Ellis Ave,"{'latitude': 41.7895737, 'longitude': -87.6009163}"
1940 1960 W HOOD AVE,"{'latitude': 41.9933518, 'longitude': -87.679654}"
1340 S CANAL ST,"{'latitude': 41.8639944, 'longitude': -87.6397681}"
3537 S Paulina St,"{'latitude': 41.8289489, 'longitude': -87.66759119999999}"
8725- 8745 W Higgins Rd,"{'latitude': 41.9854672, 'longitude': -87.84528259999999}"
1130 S Wabash Ave,"{'latitude': 41.8682941, 'longitude': -87.6262735}"
78 E Washington St,"{'latitude': 41.8841623, 'longitude': -87.6249624}"
221 W Harrison St,"{'latitude': 41.8740898, 'longitude': -87.6344384}"
2025 W Granville Ave,"{'latitude': 41.9938097, 'longitude': -87.6808255}"
5141 N Christiana Ave,"{'latitude': 41.9751532, 'longitude': -87.7115135}"
2525 S Michigan Ave,"{'latitude': 41.8467816, 'longitude': -87.62133639999999}"
565 W Randolph St,"{'latitude': 41.8842811, 'longitude': -87.6424512}"
540 N Michigan Ave,"{'latitude': 41.8922946, 'longitude': -87.6245768}"
1717 S Prairie Ave,"{'latitude': 41.8585174, 'longitude': -87.620134}"
2650 2700 N CLARK ST,"{'latitude': 41.9316905, 'longitude': -87.6448312}"
5757 S University Ave,"{'latitude': 41.7898733, 'longitude': -87.5972228}"
2737 N. Hoyne Avenue,"{'latitude': 41.931175, 'longitude': -87.6786928}"
146 W ERIE ST,"{'latitude': 41.894252, 'longitude': -87.633109}"
151 171 W Randolph St,"{'latitude': 41.8843129, 'longitude': -87.63348069999999}"
28 N FRANKLIN ST,"{'latitude': 41.882755, 'longitude': -87.6356806}"
3500 S LAKE PARK AVE,"{'latitude': 41.8310325, 'longitude': -87.6088164}"
1 S Franklin St,"{'latitude': 41.8817191, 'longitude': -87.6350901}"
1555 N ASHLAND AVE,"{'latitude': 41.9101924, 'longitude': -87.6674082}"
845 W MADISON ST,"{'latitude': 41.8809437, 'longitude': -87.6492241}"
1431 N Leamington Ave,"{'latitude': 41.9071542, 'longitude': -87.7542622}"
1234 N Monticello Ave,"{'latitude': 41.9040769, 'longitude': -87.7182641}"
4201 W Henderson St,"{'latitude': 41.941137, 'longitude': -87.7332639}"
8306 S St Lawrence Ave,"{'latitude': 41.74333, 'longitude': -87.61059870000001}"
1632 1636 S INDIANA AVE,"{'latitude': 41.8591573, 'longitude': -87.62283699999999}"
3116 W Belden Ave,"{'latitude': 41.9235519, 'longitude': -87.70564209999999}"
4136 S California Ave,"{'latitude': 41.8180982, 'longitude': -87.69539789999999}"
635 N Dearborn St,"{'latitude': 41.89351629999999, 'longitude': -87.6293196}"
2940 N Ashland Ave,"{'latitude': 41.9353042, 'longitude': -87.6702904}"
676 N LaSalle St,"{'latitude': 41.8945286, 'longitude': -87.63340520000001}"
100 E Huron St,"{'latitude': 41.895034, 'longitude': -87.6250256}"
6634 W Raven St,"{'latitude': 41.9948495, 'longitude': -87.79262589999999}"
1330  N LASALLE DR,"{'latitude': 41.906629, 'longitude': -87.6334249}"
2025 N Milwaukee Ave,"{'latitude': 41.91816970000001, 'longitude': -87.6892999}"
2900 2914 N MILDRED AVE,"{'latitude': 41.9348658, 'longitude': -87.6517253}"
6250 6258 S PARK SHORE EAST CT,"{'latitude': 41.7808445, 'longitude': -87.588053}"
30 40 E Huron St,"{'latitude': 41.8950774, 'longitude': -87.62647600000001}"
7370 W Talcott Ave,"{'latitude': 41.9894719, 'longitude': -87.81153259999999}"
3535 E 114th St,"{'latitude': 41.6875577, 'longitude': -87.5388128}"
222 E PEARSON ST,"{'latitude': 41.8979891, 'longitude': -87.6206819}"
600 N Lake Shore Dr,"{'latitude': 41.8928901, 'longitude': -87.61483249999999}"
4532 4542 S DREXEL BLVD,"{'latitude': 41.8119236, 'longitude': -87.6054154}"
610 N FAIRBANKS CT,"{'latitude': 41.8930924, 'longitude': -87.6205282}"
355 E Ohio St,"{'latitude': 41.8922686, 'longitude': -87.6181615}"
500 S Clinton St,"{'latitude': 41.8750801, 'longitude': -87.6415754}"
6033 N Sheridan Rd,"{'latitude': 41.9920625, 'longitude': -87.65477589999999}"
1143-53 N Lavergne,"{'latitude': 41.9013942, 'longitude': -87.75063349999999}"
3020 N Lamon Ave,"{'latitude': 41.9355753, 'longitude': -87.7501048}"
1727 S Indiana Ave,"{'latitude': 41.8583587, 'longitude': -87.62189269999999}"
120 S LaSalle St,"{'latitude': 41.8803342, 'longitude': -87.6325648}"
3838 N BROADWAY,"{'latitude': 41.9522285, 'longitude': -87.6499036}"
370 N Desplaines St,"{'latitude': 41.8886921, 'longitude': -87.6450996}"
2007 N Sedgwick,"{'latitude': 41.9186493, 'longitude': -87.6385269}"
860 W Blackhawk St,"{'latitude': 41.9087505, 'longitude': -87.6506311}"
1111  S ASHLAND AVE,"{'latitude': 41.8678764, 'longitude': -87.6658173}"
460  E 41ST ST,"{'latitude': 41.8208558, 'longitude': -87.6144654}"
4501 4519 N MALDEN ST,"{'latitude': 41.9641976, 'longitude': -87.6620434}"
7122 S Jeffery Blvd,"{'latitude': 41.76542999999999, 'longitude': -87.5764572}"
10 S Riverside Plz,"{'latitude': 41.8812538, 'longitude': -87.6391108}"
401 N Michigan Ave,"{'latitude': 41.8898087, 'longitude': -87.6229797}"
6103 N LINCOLN AVE,"{'latitude': 41.9936496, 'longitude': -87.7113348}"
41 E 8th St,"{'latitude': 41.8717102, 'longitude': -87.6263215}"
5400 S State St,"{'latitude': 41.7962707, 'longitude': -87.6260738}"
5320 N Sheridan Rd,"{'latitude': 41.9790837, 'longitude': -87.6554788}"
2022 W Washington Blvd,"{'latitude': 41.8834427, 'longitude': -87.6772965}"
3300 W OGDEN AVE,"{'latitude': 41.857391, 'longitude': -87.7080812}"
220 E Walton Pl,"{'latitude': 41.900222, 'longitude': -87.62105009999999}"
4555 S Western Blvd,"{'latitude': 41.810861, 'longitude': -87.6829217}"
301 N Austin Blvd,"{'latitude': 41.8858533, 'longitude': -87.77442669999999}"
811 S Lytle St,"{'latitude': 41.8715385, 'longitude': -87.6575469}"
533 W 27th St,"{'latitude': 41.84337060000001, 'longitude': -87.6407433}"
4659  S DREXEL BLVD,"{'latitude': 41.80981550000001, 'longitude': -87.6037372}"
250 S Wacker Dr,"{'latitude': 41.8784086, 'longitude': -87.6373413}"
55 E WASHINGTON ST,"{'latitude': 41.88305580000001, 'longitude': -87.62577309999999}"
142 E Ontario St,"{'latitude': 41.8935979, 'longitude': -87.6236508}"
8101 8141 S CICERO AVE,"{'latitude': 41.7443725, 'longitude': -87.7402303}"
1606 E Hyde Park Blvd,"{'latitude': 41.8026797, 'longitude': -87.5861255}"
2301 15 S Archer Ave,"{'latitude': 41.8178572, 'longitude': -87.6981505}"
1414 N Damen Ave,"{'latitude': 41.9076327, 'longitude': -87.6778186}"
330 S Wells St,"{'latitude': 41.8771327, 'longitude': -87.6338681}"
5900 N Winthrop Ave,"{'latitude': 41.9891899, 'longitude': -87.65850999999999}"
218 S Wabash Av,"{'latitude': 41.878886, 'longitude': -87.626316}"
9652 S Michigan Ave,"{'latitude': 41.7176263, 'longitude': -87.62158649999999}"
3931 3959 W 104TH ST,"{'latitude': 41.7038204, 'longitude': -87.7205711}"
1550 N Kingsbury St,"{'latitude': 41.9086787, 'longitude': -87.65264119999999}"
1420 N Hudson Ave,"{'latitude': 41.9081287, 'longitude': -87.6406215}"
4343 N Clarendon Ave,"{'latitude': 41.9612878, 'longitude': -87.6494037}"
1434 N Parkside Ave,"{'latitude': 41.90647939999999, 'longitude': -87.76749919999999}"
45 W North Blvd,"{'latitude': 41.9110544, 'longitude': -87.6305764}"
1104 W 31st St,"{'latitude': 41.8381006, 'longitude': -87.65415159999999}"
601 - 623 N State St,"{'latitude': 41.893103, 'longitude': -87.6278976}"
747 N LASALLE DR,"{'latitude': 41.8962046, 'longitude': -87.6323735}"
5527 5537 S EVERETT AVE,"{'latitude': 41.7942086, 'longitude': -87.5823332}"
2851 N Seminary Ave,"{'latitude': 41.93397909999999, 'longitude': -87.6557259}"
4022 N ELSTON AVE,"{'latitude': 41.9541848, 'longitude': -87.7201529}"
1 S State St,"{'latitude': 41.881853, 'longitude': -87.62741679999999}"
10450 S Michigan Ave,"{'latitude': 41.7038487, 'longitude': -87.621207}"
6520 S Wood St,"{'latitude': 41.7749645, 'longitude': -87.66978209999999}"
3757 S Wabash Ave,"{'latitude': 41.8256214, 'longitude': -87.62438399999999}"
1419 W Blackhawk St,"{'latitude': 41.9067683, 'longitude': -87.66331319999999}"
4950 N ASHLAND AVE,"{'latitude': 41.9721737, 'longitude': -87.67009379999999}"
300 W 23rd St,"{'latitude': 41.8511439, 'longitude': -87.6353343}"
1 N LaSalle St,"{'latitude': 41.8823104, 'longitude': -87.63203779999999}"
3615 W 16th St,"{'latitude': 41.8586246, 'longitude': -87.7154875}"
1329 1341 W ESTES AVE,"{'latitude': 42.0110624, 'longitude': -87.6644369}"
112 S Michigan Ave,"{'latitude': 41.88037120000001, 'longitude': -87.6249344}"
6104 6110 S WOODLAWN AVE,"{'latitude': 41.7837943, 'longitude': -87.5967103}"
247 E Chestnut St,"{'latitude': 41.8982091, 'longitude': -87.6200005}"
7530 S South Shore Dr,"{'latitude': 41.7595658, 'longitude': -87.5566887}"
8001 - 8007 S Cottage Grove Ave,"{'latitude': 41.7488078, 'longitude': -87.6047502}"
3937 W Wilcox St,"{'latitude': 41.8784114, 'longitude': -87.72418809999999}"
2501 W BRADLEY PL,"{'latitude': 41.9488641, 'longitude': -87.6920004}"
1357 1367 N DEARBORN ST,"{'latitude': 41.9075679, 'longitude': -87.62978059999999}"
3021 S Michigan Ave,"{'latitude': 41.8396848, 'longitude': -87.6222446}"
140 E Walton Pl,"{'latitude': 41.9004761, 'longitude': -87.6230361}"
2333 W Saint Paul Ave,"{'latitude': 41.9132316, 'longitude': -87.6859295}"
345 W Fullerton Pkwy,"{'latitude': 41.9254983, 'longitude': -87.6386555}"
4707 W Marquette Rd,"{'latitude': 41.7706659, 'longitude': -87.7399087}"
2 10 W ELM ST,"{'latitude': 41.9032802, 'longitude': -87.6290191}"
5650 N SHERIDAN RD,"{'latitude': 41.9853258, 'longitude': -87.6557117}"
834 E 50th St,"{'latitude': 41.80439990000001, 'longitude': -87.6054312}"
231 239 E WALTON ST,"{'latitude': 41.89988530000001, 'longitude': -87.6204698}"
10 E Delaware Pl,"{'latitude': 41.8993009, 'longitude': -87.6279319}"
425 427 W ROSCOE ST,"{'latitude': 41.943044, 'longitude': -87.641458}"
3000 3030 W MARQUETTE RD,"{'latitude': 41.7719986, 'longitude': -87.69893019999999}"
1930 W Loyola Ave,"{'latitude': 42.0007363, 'longitude': -87.6792985}"
869  W BUENA AVE,"{'latitude': 41.9583071, 'longitude': -87.6524063}"
2636 2644 W NORTH AVE,"{'latitude': 41.910545, 'longitude': -87.6938321}"
7020 7038 S JEFFERY BLVD,"{'latitude': 41.7667063, 'longitude': -87.5763223}"
4420 N Beacon St,"{'latitude': 41.9620964, 'longitude': -87.6643246}"
6950 N Hiawatha Avenue,"{'latitude': 42.0071909, 'longitude': -87.77871379999999}"
9501 S Martin Luther King Dr,"{'latitude': 41.7217823, 'longitude': -87.6140325}"
6049 6059 W IRVING PARK RD,"{'latitude': 41.9528288, 'longitude': -87.77899250000002}"
1117 1123 N DEARBORN ST,"{'latitude': 41.9025306, 'longitude': -87.6295333}"
2989 N Milwaukee Ave,"{'latitude': 41.93601830000001, 'longitude': -87.71749799999999}"
6920  S CRANDON AVE,"{'latitude': 41.7692542, 'longitude': -87.5701414}"
727 E 60TH ST,"{'latitude': 41.7855931, 'longitude': -87.6074151}"
1000 W 52nd St,"{'latitude': 41.8000329, 'longitude': -87.65047840000001}"
105 W MADISON ST,"{'latitude': 41.8818291, 'longitude': -87.6312275}"
4040 N Oakley St,"{'latitude': 41.9552268, 'longitude': -87.68669729999999}"
340  E 38TH ST,"{'latitude': 41.8257431, 'longitude': -87.6176638}"
633 W NORTH AVE,"{'latitude': 41.910588, 'longitude': -87.6448372}"
1900 1910 W FARWELL AVE,"{'latitude': 42.00674619999999, 'longitude': -87.6785791}"
811 833 E 46TH ST,"{'latitude': 41.8105378, 'longitude': -87.6054259}"
777 N Michigan Ave,"{'latitude': 41.8966076, 'longitude': -87.6239003}"
4500  N WINCHESTER AVE,"{'latitude': 41.963497, 'longitude': -87.67798789999999}"
8550 W Bryn Mawr Ave,"{'latitude': 41.9821975, 'longitude': -87.840959}"
50 W 71st St,"{'latitude': 41.7657305, 'longitude': -87.6271579}"
2345 S Christiana Ave,"{'latitude': 41.8495496, 'longitude': -87.7081784}"
50 W Washington,"{'latitude': 41.8840336, 'longitude': -87.6301288}"
754 S WABASH AVE,"{'latitude': 41.8720144, 'longitude': -87.62625969999999}"
5050 S HOMAN AVE,"{'latitude': 41.8012086, 'longitude': -87.70955599999999}"
2370 N Newcastle Ave,"{'latitude': 41.9232086, 'longitude': -87.79765859999999}"
5550 S University Ave,"{'latitude': 41.7935818, 'longitude': -87.5989697}"
930 N Wells St,"{'latitude': 41.9001711, 'longitude': -87.6351383}"
6420 S University Ave,"{'latitude': 41.778076, 'longitude': -87.59711709999999}"
220 E Illinois St,"{'latitude': 41.8913412, 'longitude': -87.6217429}"
900 910 W VANBUREN ST,"{'latitude': 41.8768495, 'longitude': -87.64989279999999}"
343 W Old Town Court,"{'latitude': 41.9041113, 'longitude': -87.6379173}"
1373 1383 W GREENLEAF AVE,"{'latitude': 42.0101381, 'longitude': -87.6655839}"
9000 S Exchange Ave,"{'latitude': 41.7310266, 'longitude': -87.5529521}"
5401 S CORNELL AVE,"{'latitude': 41.7979275, 'longitude': -87.58508379999999}"
1420 W 17th St,"{'latitude': 41.8590809, 'longitude': -87.66316239999999}"
6650 S Ellis Ave,"{'latitude': 41.7742, 'longitude': -87.6012655}"
6345 S Stewart,"{'latitude': 41.7784268, 'longitude': -87.63460169999999}"
2656 N Elston Ave,"{'latitude': 41.928476, 'longitude': -87.6850778}"
530  W DIVERSEY PKWY,"{'latitude': 41.9331486, 'longitude': -87.64250469999999}"
4707 S. Marshfield Ave.,"{'latitude': 41.80831149999999, 'longitude': -87.6660467}"
2250 N Sheffield Ave,"{'latitude': 41.92312, 'longitude': -87.6541235}"
3800 N New England Ave,"{'latitude': 41.9496522, 'longitude': -87.7989218}"
9001 S Throop St,"{'latitude': 41.73042460000001, 'longitude': -87.6556149}"
6700 S Crandon Ave,"{'latitude': 41.7732524, 'longitude': -87.570182}"
2031 S Clark St,"{'latitude': 41.8544462, 'longitude': -87.62903229999999}"
5920  N RIDGE AVE,"{'latitude': 41.9890952, 'longitude': -87.6694404}"
1816 W Garfield Blvd,"{'latitude': 41.7942144, 'longitude': -87.6699027}"
444 N WABASH AVE,"{'latitude': 41.8906024, 'longitude': -87.6269597}"
1431 N Western Ave,"{'latitude': 41.9075381, 'longitude': -87.6863494}"
100 E 14th St,"{'latitude': 41.86454699999999, 'longitude': -87.623688}"
5225 N Kenmore Ave,"{'latitude': 41.9771343, 'longitude': -87.65604719999999}"
100 South State Street,"{'latitude': 41.8805614, 'longitude': -87.6280927}"
505 N McClurg Ct,"{'latitude': 41.8915594, 'longitude': -87.6171507}"
9525 S Halsted St,"{'latitude': 41.7209434, 'longitude': -87.6427837}"
60  E 36TH PL,"{'latitude': 41.8288788, 'longitude': -87.6240543}"
5300 S Hermitage Ave,"{'latitude': 41.7971475, 'longitude': -87.6686878}"
2233 W Ohio St,"{'latitude': 41.8919042, 'longitude': -87.68342349999999}"
2901 W ADDISON ST,"{'latitude': 41.9464118, 'longitude': -87.7007493}"
4300  W FORD CITY DR,"{'latitude': 41.7539407, 'longitude': -87.7307287}"
70 W Madison St,"{'latitude': 41.8821962, 'longitude': -87.6300878}"
5700 N Sheridan Rd,"{'latitude': 41.9859123, 'longitude': -87.6556852}"
600 618 S WABASH AVE,"{'latitude': 41.8738098, 'longitude': -87.62629779999999}"
59 E Van Buren St,"{'latitude': 41.8767641, 'longitude': -87.6253086}"
4724 4730 S WOODLAWN AVE,"{'latitude': 41.8086671, 'longitude': -87.59793069999999}"
1020 W Sheridan Rd,"{'latitude': 41.9986947, 'longitude': -87.6566156}"
1 5 N WABASH AVE,"{'latitude': 41.8823908, 'longitude': -87.62592889999999}"
4554 N BROADWAY ST,"{'latitude': 41.96484299999999, 'longitude': -87.6573404}"
22 W Washington St,"{'latitude': 41.8833404, 'longitude': -87.62872109999999}"
2450 W Rice St,"{'latitude': 41.897037, 'longitude': -87.6885184}"
4750  N CLARENDON AVE,"{'latitude': 41.9689586, 'longitude': -87.6503384}"
5301 5331 S KIMBARK AVE,"{'latitude': 41.7985504, 'longitude': -87.5950057}"
1715 1733 E 53RD ST,"{'latitude': 41.799437, 'longitude': -87.5829025}"
111 N Wabash Ave,"{'latitude': 41.883567, 'longitude': -87.6259822}"
555 W Monroe St,"{'latitude': 41.8802543, 'longitude': -87.6423117}"
1118 1132 E 58th St,"{'latitude': 41.7895621, 'longitude': -87.6012657}"
1405 N Washtenaw,"{'latitude': 41.9070051, 'longitude': -87.6941343}"
7107 7129 S BENNETT AVE,"{'latitude': 41.7653295, 'longitude': -87.57912999999999}"
